Song Title,Artists,Cowriters,Publishers,Total Royalty
Song Title 1,"Artist_50 (Royalty: 13.00%, Veto: False); Artist_55 (Royalty: 14.02%, Veto: True); Artist_26 (Royalty: 16.90%, Veto: True)","Cowriter_57 (Royalty: 6.83%, Veto: False); Cowriter_52 (Royalty: 8.27%, Veto: False)","Publisher_39 (Royalty: 21.77%, Veto: True)",$59.02 
Song Title 2,"Artist_70 (Royalty: 12.90%, Veto: True); Artist_55 (Royalty: 14.02%, Veto: True); Artist_99 (Royalty: 19.29%, Veto: True)","Cowriter_66 (Royalty: 9.86%, Veto: True)","Publisher_65 (Royalty: 19.25%, Veto: True); Publisher_94 (Royalty: 18.74%, Veto: False)",$56.07 
Song Title 3,"Artist_55 (Royalty: 14.02%, Veto: True); Artist_50 (Royalty: 13.00%, Veto: False)","Cowriter_71 (Royalty: 7.96%, Veto: False)","Publisher_67 (Royalty: 15.75%, Veto: True); Publisher_65 (Royalty: 19.25%, Veto: True)",$34.98 
Song Title 4,"Artist_70 (Royalty: 12.90%, Veto: True); Artist_99 (Royalty: 19.29%, Veto: True); Artist_26 (Royalty: 16.90%, Veto: True)","Cowriter_64 (Royalty: 6.55%, Veto: False); Cowriter_57 (Royalty: 6.83%, Veto: False)","Publisher_3 (Royalty: 20.60%, Veto: True)",$62.47 
Song Title 5,"Artist_99 (Royalty: 19.29%, Veto: True)","Cowriter_52 (Royalty: 8.27%, Veto: False)","Publisher_39 (Royalty: 21.77%, Veto: True); Publisher_94 (Royalty: 18.74%, Veto: False)",$27.56 
Song Title 6,"Artist_26 (Royalty: 16.90%, Veto: True); Artist_70 (Royalty: 12.90%, Veto: True); Artist_50 (Royalty: 13.00%, Veto: False)","Cowriter_52 (Royalty: 8.27%, Veto: False); Cowriter_57 (Royalty: 6.83%, Veto: False)","Publisher_67 (Royalty: 15.75%, Veto: True); Publisher_65 (Royalty: 19.25%, Veto: True)",$57.90 
Song Title 7,"Artist_50 (Royalty: 13.00%, Veto: False); Artist_55 (Royalty: 14.02%, Veto: True)",,"Publisher_3 (Royalty: 20.60%, Veto: True)",$20.60 
Song Title 8,"Artist_50 (Royalty: 13.00%, Veto: False); Artist_55 (Royalty: 14.02%, Veto: True); Artist_70 (Royalty: 12.90%, Veto: True)",,"Publisher_65 (Royalty: 19.25%, Veto: True)",$19.25 
Song Title 9,"Artist_50 (Royalty: 13.00%, Veto: False); Artist_70 (Royalty: 12.90%, Veto: True); Artist_55 (Royalty: 14.02%, Veto: True)","Cowriter_57 (Royalty: 6.83%, Veto: False); Cowriter_66 (Royalty: 9.86%, Veto: True)","Publisher_39 (Royalty: 21.77%, Veto: True); Publisher_94 (Royalty: 18.74%, Veto: False)",$56.61 
Song Title 10,"Artist_50 (Royalty: 13.00%, Veto: False); Artist_55 (Royalty: 14.02%, Veto: True)","Cowriter_64 (Royalty: 6.55%, Veto: False)","Publisher_39 (Royalty: 21.77%, Veto: True); Publisher_65 (Royalty: 19.25%, Veto: True)",$33.58 
