Segment,Jenny_vs_Joel_Clone,Jenny_vs_Joel_OG,Joel_Clone_vs_Joel_OG
Segment 1,0.9871214637065353,0.9882482353616392,0.995180987238666
Segment 2,0.9598727583803535,0.9525509984774985,0.9794772976419184
Segment 3,0.8693155234311682,0.8458532299233767,0.9489252074386452
Segment 4,0.8321106961289988,0.8111168910277752,0.9641320143523886
Segment 5,-0.09561531772363585,-0.26154782561819756,0.8970441936275868
Segment 6,0.8740249952265455,0.8628265105215362,0.9438017184176392
Segment 7,0.6537304564703896,0.6829277174564233,0.9207894185160878
Segment 8,0.7969103128935187,0.7157704027271953,0.959961268394606
Segment 9,0.29007711393105906,0.27270532587761165,0.9445025085201002
Segment 10,-0.4239274701534499,-0.29243723023183144,0.8732119088354197
Segment 11,0.03383811218506194,0.026150769000725993,0.901394107512625
Segment 12,-0.24130226147718692,-0.1351910628192099,0.6995018719702106
Segment 13,-0.6092583752787446,-0.5263334145176986,0.912991544592072
Segment 14,0.9958695841598063,0.992608357679294,0.9941034729322694
Segment 15,0.997932915450122,0.9966658892592972,0.9969070382543052
Segment 16,0.9956376625355583,0.9960050757153389,0.9984711296591695
Segment 17,0.9962839178344293,0.9965683776297363,0.9987511081605971
Segment 18,0.9973097926837633,0.9968001870821549,0.9979247832205942
Segment 19,0.9951598585299481,0.993036178513279,0.9951772750008013
Segment 20,0.9995826063587065,0.9993091587777716,0.999392608553776
Segment 21,0.9996369139658963,0.9994573761330621,0.9998029805388704
Segment 22,0.9994159299951334,0.9992544694363623,0.9997971372059274
Segment 23,0.9996699595572468,0.9995922045974206,0.9997936481683892
Segment 24,0.9989791629139867,0.99912059101613,0.999893411586532
Segment 25,0.9983667988962293,0.9987812811659453,0.9994545709430751
Segment 26,0.999786567019794,0.9997739168853447,0.9998329119940589
Segment 27,0.9993303678433242,0.9995210905400811,0.9998305584745037
Segment 28,0.998887440513175,0.9994282067418986,0.9997508774476915
Segment 29,0.9981546966860547,0.9981146781216428,0.9997952187669032
Segment 30,0.9990031501351297,0.9990864490039617,0.9999061913475461
Segment 31,0.9995424251732522,0.9993173743257185,0.9997927301486191
Segment 32,0.9994846441123902,0.9986052718889544,0.9990969138139617
